,end_time,energy_kWh,start_time,vehicle_id,,start_season,start_month,start_day,start_hour,start_min,end_season,end_month,end_day,end_hour,end_min,,same_day?,#_hours,start_hour_CI,mid_hours_total_CI,end_hour_CI,,#_min,start_hour_credits,mid_hour_credts,end_hour_credits,,total_credits
49,12/15/2018 18:50,2.656,12/15/2018 18:28,61P7,,4,12,15,18,28,4,12,15,18,50,,1,1,156.4,0,0,,22,-0.00059903424,0,0,,-0.00059903424
50,12/16/2018 2:00,27.888,12/15/2018 21:58,61P7,,4,12,15,21,58,4,12,16,2,0,,0,6,130.78,400.84,88.55,,242,-3.07247397024793E-05,-0.000643203300496,0,,-0.000673928040198
51,12/15/2018 2:34,0.364,12/15/2018 2:18,46P2,,4,12,15,2,18,4,12,15,2,34,,1,1,88.55,0,0,,16,6.81408000000001E-06,0,0,,6.81408000000001E-06
52,12/15/2018 6:11,0.091,12/15/2018 6:03,46P2,,4,12,15,6,3,4,12,15,6,11,,1,1,105.08,0,0,,8,-3.711708E-06,0,0,,-3.711708E-06
53,12/15/2018 7:11,0.182,12/15/2018 7:03,46P2,,4,12,15,7,3,4,12,15,7,11,,1,1,122.4,0,0,,8,-1.877148E-05,0,0,,-1.877148E-05
54,12/15/2018 14:18,7.189,12/15/2018 8:08,46P2,,4,12,15,8,8,4,12,15,14,18,,1,7,109.22,457.57,93.36,,370,-5.62681864216216E-05,4.69204657297296E-05,4.91028129729724E-07,,-8.85669256216225E-06
55,12/15/2018 14:59,0,12/15/2018 14:33,46P2,,4,12,15,14,33,4,12,15,14,59,,1,1,93.36,0,0,,26,0,0,0,,0
56,12/15/2018 23:42,1.183,12/15/2018 22:53,46P2,,4,12,15,22,53,4,12,15,23,42,,1,2,115.22,0,102.03,,49,-1.3062348E-05,0,-3.0225312E-05,,-4.328766E-05
57,12/16/2018 0:00,0.091,12/15/2018 23:58,46P2,,4,12,15,23,58,4,12,16,0,0,,0,2,102.03,0,93.34,,2,-2.712528E-06,0,0,,-2.712528E-06
58,12/15/2018 15:45,10.956,12/15/2018 1:23,36P7,,4,12,15,1,23,4,12,15,15,45,,1,15,90.25,1242.87,95.25,,862,5.92539118329467E-06,-6.62179623201854E-05,-3.08852436194896E-06,,-6.33810954988397E-05
59,12/15/2018 13:32,6.97199999999999,12/15/2018 3:03,59P6,,4,12,15,3,3,4,12,15,13,32,,1,11,87.8,881.13,92.03,,629,1.35332172972973E-05,-8.94952078855325E-05,2.19627975834657E-06,,-7.37657108298887E-05
60,12/15/2018 8:20,1.328,12/15/2018 7:03,58P9,,4,12,15,7,3,4,12,15,8,20,,1,2,122.4,0,109.22,,77,-0.000101393317403,0,-1.92101236363636E-05,,-0.000120603441039
61,12/15/2018 23:16,8.632,12/15/2018 23:03,58P9,,4,12,15,23,3,4,12,15,23,16,,1,1,102.03,0,0,,13,-0.000257302656,0,0,,-0.000257302656
62,12/15/2018 10:41,8.3,12/15/2018 2:53,47P6,,4,12,15,2,53,4,12,15,10,41,,1,9,88.55,697.66,90.26,,468,2.324E-06,-0.000158632153846,9.13574615384613E-06,,-0.000147172407692
63,12/15/2018 6:28,7.304,12/15/2018 5:08,63P2,,4,12,15,5,8,4,12,15,6,28,,1,2,90.98,0,105.08,,80,4.73430671999999E-05,0,-0.0001042704432,,-5.69273760000001E-05
64,12/15/2018 8:30,2.656,12/15/2018 8:08,12P4,,4,12,15,8,8,4,12,15,8,30,,1,1,109.22,0,0,,22,-0.000147917952,0,0,,-0.000147917952
65,12/15/2018 11:29,7.968,12/15/2018 10:03,12P4,,4,12,15,10,3,4,12,15,11,29,,1,2,90.26,0,89.84,,86,6.63519449302324E-05,0,3.78205752558139E-05,,0.000104172520186
66,12/15/2018 3:20,1.05,12/15/2018 2:28,31P9,,4,12,15,2,28,4,12,15,3,20,,1,2,88.55,0,87.8,,52,1.2096E-05,0,8.65038461538462E-06,,2.07463846153846E-05
67,12/15/2018 7:42,1.47,12/15/2018 3:43,31P9,,4,12,15,3,43,4,12,15,7,42,,1,5,87.8,283.97,122.4,,239,2.23968953974895E-06,-3.61361673640161E-06,-2.66437807531381E-05,,-2.80177079497907E-05
68,12/21/2018 2:04,0,12/15/2018 9:48,31P9,,4,12,15,9,48,4,12,21,2,4,,0,18,94.27,1775.56,88.55,,976,0,0,0,,0
69,12/15/2018 9:39,0.77,12/15/2018 9:03,60P0,,4,12,15,9,3,4,12,15,9,39,,1,1,94.27,0,0,,36,-1.44144E-06,0,0,,-1.44144E-06
70,12/15/2018 13:33,3.773,12/15/2018 10:03,60P0,,4,12,15,10,3,4,12,15,13,33,,1,4,90.26,181.01,92.03,,210,1.28667924E-05,2.51863920000001E-05,3.67123679999999E-06,,4.17244212E-05
71,12/15/2018 9:58,19.92,12/15/2018 7:03,44P4,,4,12,15,7,3,4,12,15,9,58,,1,3,122.4,109.22,94.27,,175,-0.000669195894857,-0.000380360448,-1.23590509714285E-05,,-0.001061915393829
